,Localitate,Categorie
Siruta,,
21757,Caiuti,Barbati_18-24
21855,Cleja,Femei_25-34
21891,Colonesti,Femei_18-24
21971,Corbasca,Femei_25-34
22059,Cotofanesti,Femei_18-24
22111,Damienesti,Femei_25-34
22166,Oras Darmanesti,Femei_18-24
22237,Dealu Morii,Femei_18-24
22380,Dofteana,Femei_18-24
22460,Faraoani,Femei_25-34
22488,Filipeni,Femei_25-34
22576,Filipesti,Femei_18-24
22665,Gaiceana,Barbati_18-24
22718,Ghimes-Faget,Barbati_18-24
22781,Garleni,Barbati_25-34
22834,Glavanesti,Femei_18-24
22898,Helegiu,Femei_25-34
22941,Horgesti,Femei_18-24
23047,Huruiesti,Femei_18-24
23127,Izvoru Berheciului,Barbati_18-24
23207,Lipova,Femei_18-24
23289,Livezi,Femei_18-24
23350,Luizi-Calugara,Femei_25-34
23387,Magiresti,Femei_18-24
23449,Manastirea Casin,Femei_18-24
23494,Motoseni,Barbati_18-24
23644,Negri,Barbati_18-24
23715,Nicolae Balcescu,Femei_25-34
23797,Oituz,Femei_18-24
23868,Oncesti,Femei_18-24
23948,Orbeni,Femei_18-24
23975,Palanca,Femei_18-24
24034,Parava,Barbati_18-24
24089,Parincea,Barbati_18-24
24187,Pancesti,Barbati_18-24
24276,Pargaresti,Barbati_25-34
24338,Parjol,Barbati_18-24
24427,Plopana,Femei_18-24
24524,Podu Turcului,Barbati_18-24
24631,Poduri,Femei_18-24
24711,Racova,Femei_18-24
24766,Racaciuni,Femei_25-34
24837,Rachitoasa,Barbati_18-24
24999,Rosiori,Barbati_18-24
25068,Sascut,Femei_18-24
25148,Sanduleni,Femei_18-24
25228,Saucesti,Femei_18-24
25291,Scorteni,Femei_25-34
25362,Secuieni,Femei_25-34
25488,Solont,Femei_25-34
25521,Stanisesti,Femei_18-24
25629,Strugari,Femei_18-24
25692,Tamasi,Barbati_18-24
25745,Tatarasti,Femei_18-24
25825,Targu Trotus,Femei_18-24
25861,Traian,Femei_18-24
25932,Ungureni,Femei_18-24
26029,Urechesti,Femei_18-24
26083,Valea Seaca,Femei_18-24
26118,Vultureni,Femei_18-24
26289,Zemes,Femei_25-34
26320,Sarata,Femei_18-24
26338,Buciumi,Femei_18-24
26346,Gioseni,Femei_18-24
26353,Odobesti,Femei_25-34
26361,Prajesti,Barbati_25-34
26379,Itesti,Femei_18-24
26564,Municipiul Oradea,Femei_18-24
26582,Sanmartin,Femei_18-24
26653,Santandrei,Barbati_18-24
26699,Oras Alesd,Femei_18-24
26742,Astileu,Femei_18-24
26804,Municipiul Beius,Femei_18-24
26840,Oras Stei,Femei_18-24
26877,Municipiul Marghita,Femei_18-24
26920,Oras Nucet,Barbati_18-24
26975,Municipiul Salonta,Femei_18-24
27007,Oras Vascau,Femei_18-24
27070,Abram,Femei_18-24
27169,Abramut,Barbati_18-24
27212,Auseu,Barbati_18-24
27285,Avram Iancu,Femei_18-24
27329,Balc,Femei_18-24
27383,Batar,Femei_18-24
27436,Biharia,Femei_18-24
27506,Boianu Mare,Femei_18-24
27560,Borod,Barbati_18-24
27631,Bors,Femei_18-24
27686,Bratca,Femei_18-24
27757,Brusturi,Femei_18-24
27846,Budureasa,Femei_18-24
27908,Buduslau,Femei_18-24
27935,Bulz,Femei_18-24
27971,Buntesti,Femei_18-24
28077,Cabesti,Barbati_18-24
28139,Capalna,Femei_18-24
28193,Carpinet,Barbati_18-24
28246,Cefa,Femei_18-24
28335,Ceica,Barbati_18-24
28415,Cetariu,Femei_18-24
28497,Cherechiu,Femei_18-24
28530,Chislaz,Barbati_18-24
28610,Ciuhoi,Femei_25-34
28665,Ciumeghiu,Femei_18-24
28709,Campani,Femei_18-24
28763,Cociuba Mare,Femei_18-24
28816,Copacel,Barbati_18-24
28889,Cristioru De Jos,Femei_18-24
28941,Curatele,Femei_18-24
29001,Curtuiseni,Barbati_65_
29038,Derna,Barbati_18-24
29092,Diosig,Femei_18-24
29154,Dobresti,Femei_18-24
29243,Draganesti,Femei_25-34
29341,Dragesti,Femei_65_
29403,Finis,Femei_18-24
29467,Girisu De Cris,Femei_18-24
29519,Hidiselu De Sus,Femei_18-24
29573,Holod,Femei_18-24
29662,Husasau De Tinca,Femei_18-24
29724,Ineu,Femei_65_
29760,Lazuri De Beius,Femei_18-24
29813,Lazareni,Femei_18-24
29902,Lugasu De Jos,Barbati_18-24
29948,Lunca,Femei_18-24
30014,Madaras,Femei_18-24
30069,Magesti,Barbati_18-24
30149,Nojorid,Barbati_18-24
30229,Olcea,Femei_18-24
30274,Osorhei,Barbati_18-24
30336,Pietroasa,Femei_18-24
30416,Pocola,Barbati_18-24
30470,Pomezeu,Femei_18-24
30568,Popesti,Femei_18-24
30648,Rabagani,Femei_18-24
30719,Remetea,Femei_18-24
30773,Rieni,Femei_18-24
30844,Rosia,Barbati_18-24
30871,Sacadat,Femei_25-34
30915,Oras Sacueni,Femei_18-24
30988,Salacea,Barbati_18-24
31011,Salard,Femei_18-24
31057,Sambata,Femei_25-34
31128,Sarbi,Barbati_18-24
31208,Spinus,Femei_18-24
31262,Suplacu De Barcau,Femei_18-24
31333,Simian,Femei_18-24
31379,Sinteu,Femei_18-24
31422,Soimi,Barbati_18-24
