,Localitate,Categorie
Siruta,,
14726,Botesti,Femei_18-24
14753,Bradulet,Barbati_18-24
14851,Budeasa,Femei_18-24
14922,Bughea De Jos,Femei_18-24
14940,Buzoesti,Femei_18-24
15064,Caldararu,Femei_18-24
15108,Calinesti,Barbati_18-24
15233,Cateasca,Femei_25-34
15313,Cepari,Femei_18-24
15402,Cetateni,Femei_18-24
15448,Cicanesti,Femei_18-24
15493,Ciofrangeni,Femei_18-24
15554,Ciomagesti,Femei_18-24
15652,Cocu,Femei_18-24
15741,Corbeni,Femei_18-24
15830,Corbi,Barbati_18-24
15901,Cosesti,Femei_18-24
15983,Cotmeana,Femei_18-24
16132,Cuca,Femei_18-24
16285,Davidesti,Barbati_18-24
16329,Dambovicioara,Femei_18-24
16365,Darmanesti,Femei_18-24
16427,Dobresti,Femei_18-24
16454,Domnesti,Barbati_18-24
16472,Dragoslavele,Femei_18-24
16506,Draganu,Femei_18-24
16551,Godeni,Femei_18-24
16613,Harsesti,Barbati_18-24
16659,Hartiesti,Femei_18-24
16739,Izvoru,Femei_25-34
16757,Leordeni,Barbati_18-24
16908,Leresti,Femei_18-24
16944,Lunca Corbului,Barbati_18-24
17049,Malureni,Femei_18-24
17101,Merisani,Barbati_18-24
17209,Micesti,Femei_18-24
17254,Mihaesti,Femei_18-24
17334,Mioarele,Barbati_18-24
17398,Mirosi,Femei_18-24
17423,Moraresti,Barbati_18-24
17496,Mosoaia,Femei_18-24
17575,Mozaceni,Femei_18-24
17619,Musatesti,Barbati_18-24
17726,Negrasi,Femei_25-34
17771,Nucsoara,Femei_18-24
17824,Oarja,Femei_18-24
17851,Pietrosani,Femei_18-24
17913,Poienarii De Arges,Femei_18-24
17968,Poienarii De Muscel,Femei_18-24
18028,Poiana Lacului,Barbati_18-24
18162,Popesti,Femei_25-34
18242,Priboieni,Femei_18-24
18331,Ratesti,Femei_18-24
18411,Recea,Femei_18-24
18475,Rociu,Femei_18-24
18527,Rucar,Barbati_18-24
18554,Salatrucu,Femei_18-24
18581,Sapata,Femei_18-24
18670,Schitu Golesti,Femei_18-24
18741,Slobozia,Femei_18-24
18778,Stalpeni,Barbati_18-24
18858,Stoenesti,Femei_18-24
18938,Stolnici,Femei_18-24
19007,Suseni,Barbati_18-24
19114,Stefan Cel Mare,Femei_18-24
19141,Suici,Barbati_18-24
19212,Teiu,Barbati_18-24
19249,Tigveni,Femei_18-24
19338,Titesti,Femei_18-24
19392,Uda,Femei_18-24
19560,Ungheni,Femei_18-24
19631,Valea Danului,Barbati_18-24
19695,Valea Iasului,Femei_18-24
19793,Vedea,Femei_18-24
19999,Vladesti,Femei_18-24
20048,Raca,Femei_18-24
20055,Vulturesti,Femei_18-24
20063,Bughea De Sus,Femei_18-24
20297,Municipiul Bacau,Femei_18-24
20313,Hemeius,Barbati_18-24
20359,Letea Veche,Femei_18-24
20411,Magura,Femei_18-24
20466,Margineni,Femei_18-24
20563,Municipiul Onesti,Femei_18-24
20607,Gura Vaii,Barbati_18-24
20670,Stefan Cel Mare,Femei_18-24
20778,Oras Buhusi,Femei_18-24
20821,Oras Comanesti,Femei_18-24
20876,Municipiul Moinesti,Femei_18-24
20910,Oras Slanic-Moldova,Barbati_18-24
20965,Oras Targu Ocna,Femei_18-24
21007,Agas,Femei_18-24
21098,Ardeoani,Femei_18-24
21123,Asau,Femei_18-24
21196,Balcani,Barbati_25-34
21249,Beresti-Bistrita,Femei_18-24
21338,Beresti-Tazlau,Femei_18-24
21418,Berzunti,Femei_18-24
21454,Barsanesti,Femei_18-24
21506,Blagesti,Femei_18-24
21560,Bogdanesti,Femei_18-24
21597,Brusturoasa,Barbati_18-24
21668,Buhoci,Femei_25-34
21720,Casin,Femei_18-24
